followers,engagement_rate,past_interactions,content_sentiment,posting_hour,account_age_days,num_hashtags,has_media,is_reply,impressions,is_viral
4420,0.0422,153,0.5672,8,393,4,1,1,940,0
1409,0.0465,39,0.0235,10,936,1,1,0,1310,0
5801,0.0274,90,0.0647,19,136,1,1,0,5407,0
28041,0.0357,595,0.5299,21,1021,0,0,1,4251,0
1186,0.059,75,0.3353,19,254,2,0,1,283,0
1186,0.0389,25,0.2768,8,284,1,0,1,100,0
31026,0.0491,1275,0.0096,10,391,1,1,0,29430,0
7196,0.0494,445,0.417,19,645,5,1,0,11158,0
776,0.046,28,0.1349,21,176,3,0,1,305,0
4801,0.0447,270,0.373,18,1566,2,1,0,3473,0
785,0.0693,67,0.5304,18,794,4,0,1,204,0
781,0.0607,35,0.478,16,4559,0,1,0,510,0
2794,0.0483,165,0.7254,21,897,3,0,0,5588,1
57,0.0614,4,0.4591,8,1177,1,0,0,58,0
81,0.0631,4,0.2849,19,283,4,1,0,240,1
657,0.0489,22,0.7289,19,204,1,1,0,543,0
292,0.0362,10,-0.3905,15,1235,4,0,0,159,0
3183,0.0682,308,0.3126,17,222,2,1,0,7208,1
352,0.0581,23,0.3342,21,1263,3,1,0,820,1
142,0.0641,6,0.4731,20,3664,2,0,0,60,0
25290,0.0389,1162,-0.5685,9,1712,1,0,0,36565,0
1204,0.0443,49,0.0447,18,1176,1,1,1,303,0
2041,0.0477,106,0.3559,21,870,2,1,0,4590,1
139,0.0442,7,0.4322,17,453,0,1,1,21,0
678,0.0767,52,0.5795,10,593,1,1,0,3931,1
2207,0.0369,106,0.2515,9,377,0,1,0,1524,0
227,0.048,13,0.6703,10,178,1,1,0,247,0
3555,0.0429,170,0.2161,20,689,4,1,1,1477,0
613,0.0672,26,0.557,18,2014,3,1,1,523,0
1069,0.0522,74,-0.0026,9,183,0,1,0,1449,0
612,0.042,36,0.7833,20,2693,2,0,0,823,0
50721,0.0492,1589,0.3011,14,2246,3,0,0,43179,0
1764,0.0574,100,0.6342,11,989,1,0,0,788,0
269,0.063,12,0.3091,10,997,0,0,1,82,0
7947,0.0512,510,0.7124,12,552,3,1,1,1220,0
200,0.0827,20,-0.0474,16,693,1,1,1,78,0
2633,0.0703,118,0.5084,11,418,1,0,0,2203,0
53,0.0572,4,0.7689,17,686,3,0,0,54,0
165,0.0758,8,0.3466,10,764,0,0,1,44,0
2576,0.0524,175,0.432,19,4364,4,1,0,1330,0
6831,0.0497,324,0.1902,10,1171,1,1,0,12931,1
2461,0.0318,64,-0.1915,10,539,4,0,0,1594,0
1468,0.0491,47,-0.3584,10,602,3,0,0,1631,0
1051,0.044,30,0.5698,20,325,2,1,1,879,0
126,0.0689,10,0.2364,9,384,2,1,1,40,0
494,0.0659,34,0.004,10,1653,1,1,0,975,1
789,0.0326,15,0.9467,13,405,0,1,0,276,0
12122,0.0422,313,-0.3222,12,358,1,1,0,8379,0
3356,0.0587,112,0.133,18,367,1,1,0,8668,1
75,0.0608,5,-0.5609,20,320,3,1,0,89,0
3240,0.055,215,-0.1063,10,2053,0,1,0,6675,1
904,0.0563,28,0.7894,9,767,2,0,0,755,0
534,0.0583,33,0.1397,18,501,2,1,0,1285,1
5437,0.0429,136,0.5799,9,684,4,0,0,4762,0
11565,0.0304,493,0.4966,8,826,2,1,1,2787,0
9665,0.0321,436,0.0023,18,315,0,0,0,15331,0
399,0.0631,30,-0.3263,19,165,2,0,0,254,0
1036,0.0524,77,0.148,17,2536,2,0,0,859,0
3282,0.0462,198,0.5114,9,1786,4,0,0,4882,0
10466,0.0387,538,0.4389,9,970,2,1,0,5062,0
763,0.0504,41,0.8207,21,1667,1,0,0,294,0
1294,0.0618,64,0.825,10,4511,4,1,0,3553,1
246,0.0546,9,0.5783,22,389,4,0,0,149,0
209,0.0452,7,0.2166,19,217,2,1,0,155,0
7805,0.0516,454,0.0026,15,1288,0,1,0,8762,0
20769,0.0382,533,0.7624,20,153,3,0,0,50400,1
1588,0.0508,61,0.1518,7,690,2,0,0,716,0
11007,0.0589,627,0.4438,18,493,1,1,0,27168,1
3466,0.0472,119,0.5906,17,1304,2,0,0,1836,0
566,0.0575,35,-0.0496,21,410,1,1,0,1016,0
3465,0.0356,175,0.4562,11,2207,3,1,0,5321,0
28809,0.0367,1320,0.0917,19,315,1,0,0,27972,0
1695,0.0564,111,0.0394,15,1347,1,1,1,446,0
30223,0.0232,758,-0.0321,17,341,4,1,0,9438,0
50,0.0663,3,0.31,21,1151,0,0,0,26,0
7938,0.0451,245,-0.068,12,241,5,1,0,8354,0
2114,0.0498,146,0.0648,10,649,4,1,0,2165,0
1055,0.0625,49,0.0722,11,2495,1,1,0,1308,0
2132,0.0527,66,0.1605,17,746,4,0,1,362,0
50,0.0791,4,0.7425,12,2171,0,0,0,13,0
1217,0.0416,34,0.0398,19,647,1,0,0,559,0
3438,0.0488,146,0.211,16,401,1,0,1,449,0
25853,0.0402,549,0.671,20,789,2,1,1,10767,0
711,0.043,19,-0.0198,8,1234,0,1,0,883,0
421,0.0654,18,-0.0796,10,98,5,1,1,472,0
732,0.0769,31,0.1726,22,1121,4,0,0,741,0
9393,0.0432,469,0.3606,8,259,0,1,0,17071,1
3267,0.0527,230,0.0771,23,202,1,0,0,873,0
696,0.0547,33,0.5155,19,1139,0,1,0,2065,1
4554,0.0392,245,-0.6093,17,2536,1,1,0,1463,0
2153,0.0311,47,0.1814,7,825,3,1,0,1517,0
10337,0.036,306,0.7298,13,171,3,0,0,2059,0
510,0.0411,13,0.6033,11,340,2,1,0,565,0
1002,0.0694,77,-0.2148,20,437,3,0,1,406,0
892,0.0517,42,0.6835,19,809,2,0,0,536,0
129,0.0571,8,0.3132,10,619,0,1,0,115,0
3081,0.0568,220,0.0184,10,1091,2,1,1,1282,0
2892,0.0369,111,-0.2926,18,1807,0,1,1,1030,0
1824,0.0423,86,0.2968,16,938,2,1,0,693,0
1185,0.0524,89,0.2024,18,1632,2,1,0,1931,0
141,0.0705,7,-0.1005,8,507,1,0,0,44,0
847,0.058,42,0.0794,12,5000,3,1,0,1675,1
975,0.0549,65,0.1093,9,1156,1,0,0,235,0
426,0.0566,26,0.1764,19,1318,1,0,0,338,0
1352,0.0552,50,-0.5323,21,3857,2,1,0,1973,0
3741,0.0491,160,0.4962,10,726,0,1,0,11829,1
53913,0.0261,1362,0.6803,17,348,1,1,0,49372,0
2475,0.0492,111,0.3715,8,2456,2,1,0,3042,0
2874,0.0374,72,0.5161,13,2604,1,0,0,4433,0
1581,0.0513,115,-0.4696,13,775,1,1,1,383,0
57,0.059,4,-0.052,7,3864,2,1,0,36,0
1723,0.0756,127,0.3818,18,611,4,1,0,3309,1
2015,0.0492,116,0.2057,21,1689,3,1,0,1972,0
152334,0.0182,3878,0.532,15,3027,1,0,0,35526,0
1278,0.05,40,0.1036,8,733,1,0,0,481,0
3111,0.053,123,-0.1875,22,1050,4,1,0,1970,0
1698,0.067,118,-0.4082,8,1855,1,1,0,319,0
220,0.0525,15,0.702,20,461,3,0,1,75,0
14144,0.0259,196,0.6085,10,294,1,0,0,10568,0
6998,0.0528,547,-0.1711,9,2522,0,0,0,10791,0
7508,0.0305,218,0.2973,19,903,4,0,0,6289,0
351,0.0522,15,0.2951,19,401,1,1,0,678,1
22584,0.0373,668,-0.0775,23,730,2,1,0,12048,0
144,0.0594,5,0.0127,21,1106,0,1,1,18,0
5199,0.0527,353,0.1659,17,138,3,0,0,8590,0
93229,0.0274,3716,0.6185,7,1361,3,1,0,15091,0
304,0.0544,15,0.6704,23,1000,1,0,1,79,0
652,0.0539,51,0.6721,20,3481,0,1,0,2725,1
2163,0.0508,145,0.2465,21,534,0,0,0,1241,0
730,0.0546,39,0.034,15,2636,1,1,1,147,0
110,0.0655,8,0.3229,8,636,4,1,0,164,0
2045,0.0579,110,0.6778,11,764,1,1,0,7132,1
267,0.0616,17,0.6025,16,880,4,0,1,99,0
4240,0.0511,120,-0.2878,18,5000,2,1,0,5173,0
345,0.0408,16,0.2558,19,192,1,1,0,788,1
29433,0.0393,640,-0.2318,10,1091,1,1,0,79223,1
441,0.0604,35,0.4928,17,693,5,1,0,320,0
1012,0.0596,79,0.0593,9,646,1,1,1,608,0
7819,0.0372,214,0.1147,19,1191,4,1,1,1727,0
197,0.0523,8,0.4884,9,2010,1,1,0,265,0
2722,0.0426,113,-0.4397,10,1131,0,1,0,3536,0
19012,0.046,958,0.0809,8,2287,1,1,0,11031,0
100,0.0719,5,-0.2102,21,517,5,1,0,69,0
2520,0.0446,122,0.0189,17,633,3,1,0,1977,0
2886,0.0572,131,0.4473,9,244,2,1,0,5965,1
7385,0.0456,187,0.5531,9,4831,0,0,0,10730,0
195,0.0576,5,0.6954,20,551,1,0,0,177,0
167,0.0574,5,0.3431,18,494,4,1,0,205,0
4626,0.0537,321,0.4333,10,1220,1,0,1,668,0
3085,0.0511,230,0.0169,17,2012,2,0,0,787,0
2838,0.071,186,-0.473,10,332,1,1,0,6790,1
3373,0.039,133,0.1999,11,2179,0,1,0,15155,1
